Datum;Uhrzeit;Deutschland/Luxemburg[€/MWh];Dänemark 1[€/MWh];Dänemark 2[€/MWh];Frankreich[€/MWh];Italien (Nord)[€/MWh];Niederlande[€/MWh];Polen[€/MWh];Schweden 4[€/MWh];Schweiz[€/MWh];Slowenien[€/MWh];Tschechien[€/MWh];Ungarn[€/MWh];Österreich[€/MWh];Deutschland/Österreich/Luxemburg[€/MWh]
15.03.2017;00:00;-;0,01;0,01;38,42;38,42;28,45;-;4,09;37,39;22,21;23,2;23,2;-;22,21
15.03.2017;01:00;-;-4,06;-4,06;32,14;36,8;28,21;-;4,07;36,74;21,14;20,9;20,9;-;21,14
15.03.2017;02:00;-;-0,71;-0,71;33,59;36;28,16;-;4,05;36,61;18,65;19,03;19,03;-;18,65
15.03.2017;03:00;-;0,05;0,05;29,68;36,05;30;-;4,06;36,37;20,16;20,1;20,1;-;20,16
15.03.2017;04:00;-;4,56;4,56;28,71;36,6;30,49;-;4,56;36,29;24,03;22,5;22,5;-;24,03
15.03.2017;05:00;-;23,59;23,59;33,44;39,73;28,4;-;23,59;40,05;28,05;26,3;26,3;-;28,05
15.03.2017;06:00;-;29,64;29,64;40,26;45,21;34,96;-;29,64;37,97;34,96;34,25;34,25;-;34,96
15.03.2017;07:00;-;30,85;30,85;48,9;50,04;40,98;-;30,85;46,08;40,98;41,5;41,5;-;40,98
15.03.2017;08:00;-;31,06;31,06;50,14;50,53;43;-;31,06;46,43;40,97;42,9;42,9;-;40,97
15.03.2017;09:00;-;30,63;30,63;47,69;47,69;42,4;-;30,63;44,36;38,99;39,67;39,67;-;38,99
15.03.2017;10:00;-;30,31;30,31;44,5;44,5;34,94;-;30,31;44,08;34,94;36,53;36,53;-;34,94
15.03.2017;11:00;-;29,87;29,87;41,2;41,2;33,07;-;29,87;40,57;33,07;34,87;34,87;-;33,07
15.03.2017;12:00;-;29,01;29,01;36,51;36,51;32,14;-;29,01;38,1;32,14;31,5;31,5;-;32,14
15.03.2017;13:00;-;28,36;28,36;35,09;35,09;32,14;-;28,36;38,85;31,5;31;31;-;31,5
15.03.2017;14:00;-;28,12;28,12;34,51;37,2;31,84;-;28,12;37,35;31,42;30,01;31,5;-;31,42
15.03.2017;15:00;-;27,89;27,89;33,43;39,48;32,4;-;27,89;42,92;32,9;30,4;33,58;-;32,4
15.03.2017;16:00;-;29,08;29,08;33,06;45,2;33,06;-;29,08;41,56;33,06;32,4;36,26;-;33,06
15.03.2017;17:00;-;30,45;30,45;41;52;41;-;30,45;42,42;43;38,8;43,03;-;41
15.03.2017;18:00;-;31,06;31,06;47,97;55;47,97;-;31,06;46,68;53,82;45,32;53,52;-;47,97
15.03.2017;19:00;-;30,95;30,95;52,09;56,46;52,09;-;30,95;49,67;52,09;48,8;53,57;-;52,09
15.03.2017;20:00;-;30,86;30,86;45,4;54;46,27;-;30,44;48,14;43,9;42;51,06;-;43,9
15.03.2017;21:00;-;30,69;30,69;38,1;51;38,1;-;30,01;44,73;38,1;35;39,1;-;38,1
15.03.2017;22:00;-;28,05;28,05;34,82;44,42;34,82;-;28,05;42,74;34,82;32,6;34,92;-;34,82
15.03.2017;23:00;-;23,6;23,6;31,59;38,73;31,59;-;23,6;36,96;31,59;28,5;30,27;-;31,59
16.03.2017;00:00;-;21,08;21,08;31,46;39,16;30,7;-;21,08;36,84;29,99;28;28,62;-;29,99
16.03.2017;01:00;-;21,03;21,03;30,21;37;30,57;-;21,03;30,95;29,84;27,65;27,65;-;29,84
16.03.2017;02:00;-;21,71;21,71;29,35;36,6;30,49;-;21,71;30,6;28,14;26,87;26,87;-;28,14
16.03.2017;03:00;-;25,92;23,1;28,29;36,1;28,29;-;23,1;29,69;28,29;26,26;26,26;-;28,29
16.03.2017;04:00;-;29,37;27,44;29,37;36,6;29,37;-;27,44;29,66;29,37;27;27;-;29,37
16.03.2017;05:00;-;29,7;29,7;30,38;39,15;30,68;-;29,7;33,78;30;30;31,07;-;30
16.03.2017;06:00;-;30,76;30,76;38,48;43,5;38,48;-;30,76;39,99;38,48;38,8;40,13;-;38,48
16.03.2017;07:00;-;32,52;32,52;45,18;45,48;45,18;-;32,52;43,97;45,48;43,1;44,17;-;45,18
16.03.2017;08:00;-;35,67;35,67;43,05;46,29;43,56;-;35,67;43,94;40,95;42,7;45,92;-;40,95
16.03.2017;09:00;-;35,28;35,28;40,36;41,93;41,28;-;35,28;40,09;41,93;37,3;44,28;-;36,15
16.03.2017;10:00;-;32,94;32,94;38,71;38,71;34,03;-;32,94;40,01;38,71;33,33;41,93;-;32,94
16.03.2017;11:00;-;31,87;31,87;35,49;35,49;34,75;-;31,87;37,12;35,49;31;40,84;-;31,87
16.03.2017;12:00;-;30,49;30,87;33,15;33,15;31,89;-;30,87;31,57;33,15;29,2;38,46;-;30,49
