Datum;Uhrzeit;Deutschland/Luxemburg[€/MWh];Dänemark 1[€/MWh];Dänemark 2[€/MWh];Frankreich[€/MWh];Italien (Nord)[€/MWh];Niederlande[€/MWh];Polen[€/MWh];Schweden 4[€/MWh];Schweiz[€/MWh];Slowenien[€/MWh];Tschechien[€/MWh];Ungarn[€/MWh];Österreich[€/MWh];Deutschland/Österreich/Luxemburg[€/MWh]
16.03.2017;13:00;-;30,45;30,45;30,93;30,93;31,02;-;30,45;31,06;30,93;29,5;37,92;-;30,45
16.03.2017;14:00;-;30,19;30,19;30,19;33,51;30,19;-;30,19;30,08;33,51;29,74;39,03;-;30,19
16.03.2017;15:00;-;30,28;30,28;30,28;37,88;30,28;-;30,28;32,01;37,88;31,84;41,52;-;30,28
16.03.2017;16:00;-;30,52;32,69;33,5;43,5;33,5;-;32,69;39,95;40,2;33,3;41,52;-;33,5
16.03.2017;17:00;-;30,69;38,95;39,9;52;39,9;-;38,95;40,97;41,99;41,2;43,94;-;39,9
16.03.2017;18:00;-;30,79;44,5;45,59;54;45,59;-;44,5;46,55;54;50,44;53,51;-;45,59
16.03.2017;19:00;-;30,56;37,27;50,1;56,46;50,1;-;37,27;48,27;56,46;54,2;54,49;-;50,1
16.03.2017;20:00;-;29,89;29,89;42,92;53;42,91;-;29,89;42,1;42,92;42,57;45,92;-;42,92
16.03.2017;21:00;-;28,58;28,58;37,62;51;34,81;-;28,58;39,02;34,81;34,73;38,42;-;34,81
16.03.2017;22:00;-;10,39;25,81;42,03;45,33;32,4;-;25,81;40,69;40;31,42;36,81;-;30,19
16.03.2017;23:00;-;9,24;12,51;39,39;40,2;30,61;-;22,97;35,86;26,36;26,81;28,46;-;26,36
17.03.2017;00:00;-;17,18;17,18;35,21;40,25;30,36;-;17,18;32,08;21,63;23,72;25,07;-;21,63
17.03.2017;01:00;-;17,02;17,02;29,96;35,5;29,96;-;17,02;29,08;18,76;22,46;22,46;-;18,76
17.03.2017;02:00;-;17,06;17,06;29,9;35;29,9;-;17,06;29,1;18,53;19,62;19,62;-;18,53
17.03.2017;03:00;-;18,71;18,71;25,1;34,49;29,88;-;18,71;29,05;20,93;20,42;20,42;-;20,93
17.03.2017;04:00;-;21,64;21,64;26,71;36,47;29,84;-;21,64;29,05;24,11;23,1;23,1;-;24,11
17.03.2017;05:00;-;25,99;25,99;30,02;40,5;29,31;-;25,99;38,08;28;25,64;27,59;-;28
17.03.2017;06:00;-;29,17;29,17;40,26;48,83;39,97;-;29,17;40,06;39,97;33,22;34,74;-;39,97
17.03.2017;07:00;-;30,63;30,63;44,8;50,53;43,18;-;30,63;44,01;50,53;37;43,04;-;40,91
17.03.2017;08:00;-;30,64;30,64;45,41;51;48,38;-;30,64;44,04;51;37;44,27;-;40,45
17.03.2017;09:00;-;30,2;30,2;42,26;46,15;48,1;-;30,2;42,92;46,15;34,5;43,47;-;33,97
17.03.2017;10:00;-;29,88;29,88;38,94;42;39,9;-;29,88;40,05;42;32;40,89;-;32,17
17.03.2017;11:00;-;29,33;29,33;35,82;39,8;33,37;-;29,33;38,81;39,8;30,4;39,35;-;29,71
17.03.2017;12:00;-;27,83;28,21;38,2;38,2;34,23;-;28,21;36,35;38,2;29,15;36,13;-;27,83
17.03.2017;13:00;-;25,44;25,44;36,1;36,1;32,23;-;27,31;32,84;36,1;27,27;34,1;-;25,44
17.03.2017;14:00;-;22,1;22,1;32,45;39,9;30,16;-;27,04;37,24;39,9;27,2;35,32;-;22,1
17.03.2017;15:00;-;22,78;22,78;30,5;44,01;29,99;-;26,85;41,78;44,01;27,2;37,2;-;22,78
17.03.2017;16:00;-;26,48;27,13;28,91;49,01;30,14;-;27,13;42,1;49,01;28,28;37,2;-;26,48
17.03.2017;17:00;-;29,6;29,6;30,96;54;30,96;-;29,6;40,98;54;34,41;47,09;-;30,96
17.03.2017;18:00;-;30,1;30,1;38,1;58,78;38,1;-;30,1;41,97;58,78;38,17;55,44;-;38,1
17.03.2017;19:00;-;29,97;29,97;45,45;58,78;43,7;-;29,97;44,03;58,78;40,2;56,56;-;40,45
17.03.2017;20:00;-;29,39;29,39;40,76;55,65;35,1;-;29,39;41,66;55,65;33,08;49,95;-;32,99
17.03.2017;21:00;-;27,91;27,91;36,09;51;32,4;-;27,91;40,48;51;27,74;47,3;-;27,91
17.03.2017;22:00;-;24,5;24,5;36,98;45,01;31,7;-;24,5;40,49;45,01;25,71;41,84;-;24,5
17.03.2017;23:00;-;14,96;14,96;38,88;44,44;29,9;-;20,44;37,34;44,44;17,8;36,06;-;14,96
18.03.2017;00:00;-;11,73;11,73;29,91;40,69;29,91;-;22,07;29,33;40,69;7,64;34,07;-;11,73
18.03.2017;01:00;-;9,42;9,42;28,26;39,52;28,26;-;22,05;29,19;39,52;7,93;25,99;-;9,42
18.03.2017;02:00;-;9,39;9,39;23,93;36,54;27;-;21,03;29,17;32,2;7,57;17,14;-;9,39
18.03.2017;03:00;-;20,94;20,94;21,49;34,33;23,17;-;20,94;29,15;15,63;7,6;7,63;-;8,46
18.03.2017;04:00;-;22,62;22,62;11,36;35,65;14,23;-;22,62;29,11;8,6;7,57;10,08;-;8,3
18.03.2017;05:00;-;22,05;22,05;16,39;36,5;27;-;22,05;29,17;32,11;7,57;17,14;-;9,37
18.03.2017;06:00;-;23,11;23,11;21,97;38,52;28,16;-;23,11;29,17;38,52;7,54;19,78;-;10,35
18.03.2017;07:00;-;26,32;26,32;18,35;39,98;28,14;-;26,32;36,02;39,98;10,03;35,08;-;11,25
18.03.2017;08:00;-;28,53;28,53;22,01;44,01;29;-;28,53;29,13;44,01;15,59;39,63;-;16,93
18.03.2017;09:00;-;28,91;28,91;28,38;44,01;28,6;-;28,91;27,78;44,01;25,1;41,31;-;28,18
18.03.2017;10:00;-;27,92;28,32;27,91;42,06;30,64;-;28,32;24;42,06;29,99;44,67;-;25,6
18.03.2017;11:00;-;26,83;27,67;28,78;39,47;32;-;27,67;24,26;39,47;28,8;45,12;-;26,83
18.03.2017;12:00;-;25,69;25,69;27,62;34,01;30,8;-;27,12;25,02;34,01;26,99;37,82;-;25,69
18.03.2017;13:00;-;17,01;17,01;21,1;29,99;30,31;-;26,56;21,59;29,99;24,07;33,7;-;17,01
18.03.2017;14:00;-;9,75;9,75;16,03;29,99;30,25;-;26,19;18,65;29,99;20,62;28,69;-;9,75
18.03.2017;15:00;-;14,36;14,36;16,92;35,25;28,4;-;25,57;17,22;28;20;29;-;14,36
18.03.2017;16:00;-;9,99;9,99;20,02;40;36,61;-;26,59;17,43;30,6;19,14;28,13;-;9,99
18.03.2017;17:00;-;27,44;29;28,84;46,1;30,57;-;29;27,17;39,2;26,97;37,05;-;27,44
18.03.2017;18:00;-;32,31;30,75;32,31;50;32,31;-;30,75;33,39;50;32,3;48,12;-;32,31
18.03.2017;19:00;-;31,04;31,04;40,45;50;43,61;-;31,04;39,04;50;36,48;48,12;-;37,94
18.03.2017;20:00;-;30,52;30,52;35,41;48,51;42,4;-;30,52;36,95;48,51;32;44,17;-;31,27
18.03.2017;21:00;-;30,22;30,22;31,97;46,02;34,04;-;30,15;29,38;32,11;28,5;33,06;-;30,74
18.03.2017;22:00;-;30,57;30,57;34,1;41;39,9;-;30;29,2;32,11;27,97;30,1;-;30,75
18.03.2017;23:00;-;29,06;29,06;32,29;39,34;38,17;-;29,06;26,47;29,06;23,2;24,5;-;29,06
19.03.2017;00:00;-;16,62;16,62;19,64;39,79;25;-;25,93;24,42;16,62;22,36;22,36;-;16,62
19.03.2017;01:00;-;15,79;15,79;15,79;36,54;15,79;-;25,04;23,13;15,79;20,3;20,93;-;15,79
19.03.2017;02:00;-;16,12;16,12;16,12;35,55;16,12;-;25,15;18,82;16,12;18;19,55;-;16,12
19.03.2017;03:00;-;12,67;12,67;12,67;34,98;12,67;-;26,82;15,74;12,67;14,4;15,76;-;12,67
19.03.2017;04:00;-;16,76;16,76;13,43;36,23;13,43;-;27,97;12,82;13,43;13,27;18,04;-;13,43
19.03.2017;05:00;-;18,89;18,89;12,47;40,32;12,47;-;29,08;11,9;12,47;12,75;20,75;-;12,47
19.03.2017;06:00;-;28,17;28,17;11,62;38,92;11,62;-;28,17;12,13;11,62;12,61;15,16;-;11,62
19.03.2017;07:00;-;28,42;28,42;9,64;38,42;9,64;-;28,42;11,42;9,64;13,17;22,07;-;9,64
19.03.2017;08:00;-;28,74;28,74;13,73;36,54;13,73;-;28,74;13,9;15,9;14,46;35,38;-;13,73
19.03.2017;09:00;-;18,44;29,25;18,44;36,54;18,44;-;29,25;15,16;36,54;16,19;46,94;-;18,44
19.03.2017;10:00;-;21,06;29,46;23,75;38,65;28,5;-;29,46;13,22;38,65;17,04;52,49;-;21,06
19.03.2017;11:00;-;17,63;29,53;19,7;38,02;28,6;-;29,53;15,33;38,02;20,67;50,11;-;17,63
19.03.2017;12:00;-;18,05;28,93;20,41;36,54;30,39;-;28,93;12,62;36,54;16,8;46,06;-;18,05
19.03.2017;13:00;-;11,35;11,35;15,97;34,28;30,47;-;27,99;8,6;34,28;14,7;39,56;-;11,35
19.03.2017;14:00;-;10,12;10,12;13,59;36,18;28,45;-;27,72;8,51;36,18;13,13;36,83;-;10,12
19.03.2017;15:00;-;9,44;9,44;11,82;36,54;28,31;-;27,67;5,06;30,6;18,74;33,04;-;9,44
19.03.2017;16:00;-;9,42;9,42;11,83;44;28,39;-;28,1;3,31;9,42;20,36;35,08;-;9,42
19.03.2017;17:00;-;10,15;10,15;13,03;48;30;-;29,08;12,68;14,68;18,51;44,03;-;10,15
19.03.2017;18:00;-;17,09;30,12;25,89;50;31,11;-;30,12;19,52;47,1;23,47;50,16;-;17,09
19.03.2017;19:00;-;16,72;30,02;38,02;51;32,6;-;30,02;36,09;51;24,99;52,35;-;16,72
19.03.2017;20:00;-;11,96;11,96;39,25;49,67;31,54;-;28,59;37,09;49,67;20,27;43,15;-;11,96
19.03.2017;21:00;-;9,47;9,47;35,5;48;30,86;-;28,49;37,42;48;13;43,19;-;9,47
19.03.2017;22:00;-;12,51;12,51;36,93;42;29,9;-;26,73;37,51;42;12,76;42,03;-;12,51
19.03.2017;23:00;-;10,12;10,12;38,31;39,85;28,3;-;23,01;30,01;39,85;9,7;39,18;-;10,12
20.03.2017;00:00;-;10,59;10,59;29,95;40,72;25,3;-;23,05;21,42;10,59;5;18,89;-;10,59
20.03.2017;01:00;-;13,87;13,87;20,95;36,54;28,3;-;22,35;8,59;13,87;7,42;17,09;-;13,87
20.03.2017;02:00;-;10,07;10,07;17,36;35;30,2;-;22,05;8,82;10,07;7,59;17,09;-;10,07
20.03.2017;03:00;-;16,36;16,36;20,01;34,24;26,15;-;23,03;11,08;16,36;7,99;18,32;-;16,36
20.03.2017;04:00;-;22,06;22,06;22,06;36,23;22,06;-;25,03;14;32,2;10,46;29,4;-;22,06
20.03.2017;05:00;-;26,08;29,65;26,08;37,27;26,08;-;29,65;27,12;37,27;20;50,33;-;26,08
20.03.2017;06:00;-;36,3;32,73;36,3;44,69;36,3;-;31,41;37,07;44,69;32,3;64,62;-;36,3
20.03.2017;07:00;-;39,26;39,26;40,98;47,21;40,98;-;37,6;40,91;47,21;39,3;69,87;-;40,98
20.03.2017;08:00;-;40,97;40,97;42,31;49,77;42,31;-;40,97;40,15;49,77;37,54;69;-;42,31
20.03.2017;09:00;-;38,4;38,4;40,15;48,33;42;-;38,4;40,11;48,33;35,33;69,87;-;39,34
20.03.2017;10:00;-;36,07;36,07;39,36;46,75;40,1;-;36,07;40,12;47;33,17;73,6;-;38,96
20.03.2017;11:00;-;32,93;32,93;38,72;45,43;42;-;32,93;40,94;49,55;33;71,84;-;36,94
20.03.2017;12:00;-;32,29;32,29;35;42;35;-;32,29;39,1;46,21;31,4;70,09;-;35
20.03.2017;13:00;-;31,96;31,96;32,9;44,15;33,01;-;31,96;39,22;46,21;31,4;65,93;-;32,74
20.03.2017;14:00;-;31,16;31,16;31,76;47,58;32,19;-;31,16;40,15;49;30,25;64,62;-;31,16
20.03.2017;15:00;-;30,82;30,82;30,82;50,67;30,82;-;30,82;40,03;50,67;29,6;62,86;-;30,82
20.03.2017;16:00;-;30,56;30,56;30,56;52,87;30,56;-;30,56;40,09;52,87;29,04;58,43;-;30,56
20.03.2017;17:00;-;31,16;31,16;32;63,75;32;-;31,16;41,2;63,75;32,8;64,62;-;32
20.03.2017;18:00;-;31,72;31,72;38,38;90;38,38;-;31,72;41,79;90;36,82;69;-;38,38
20.03.2017;19:00;-;31,04;31,04;45,84;108,1;41,94;-;31,04;43,64;108,1;39,71;69;-;36,94
20.03.2017;20:00;-;30,56;30,56;41,06;69,75;34,9;-;30,56;41,39;69,75;34;62,86;-;32,42
20.03.2017;21:00;-;27,6;28,3;33,57;52;33,57;-;28,3;40,18;52;28,2;58,43;-;27,6
20.03.2017;22:00;-;25,2;25,2;31,38;49;31,38;-;25,65;40,2;49;23,6;54,32;-;25,2
20.03.2017;23:00;-;10,75;10,75;32,09;44,79;30,36;-;22,21;36,57;44,79;18,5;48,57;-;10,75
21.03.2017;00:00;-;18,76;18,76;26,78;44;30;-;18,76;38,2;44;13;42,84;-;18,76
21.03.2017;01:00;-;17,48;17,48;21,35;36,2;30,1;-;17,48;31,1;36,2;12,1;38,78;-;17,48
21.03.2017;02:00;-;15,92;15,92;20,93;33,68;28,39;-;15,92;30;33,68;12,25;35,08;-;15,92
21.03.2017;03:00;-;18,02;18,02;19,45;33,68;25,3;-;18,02;29,97;33,68;13,65;33,19;-;18,02
21.03.2017;04:00;-;22,06;22,06;22,6;35;22,6;-;22,06;29,97;35;18,3;42,58;-;22,6
21.03.2017;05:00;-;23,99;23,99;31,89;41,67;28,3;-;23,99;38,48;41,67;23,83;47,27;-;23,99
21.03.2017;06:00;-;29,93;29,93;36,64;46,91;31,01;-;29,93;40,77;47,11;32,7;54,32;-;31,01
21.03.2017;07:00;-;31,17;31,17;48,65;49,99;35,96;-;31,17;44,84;49,99;36,21;57,39;-;35,96
21.03.2017;08:00;-;31,56;31,56;51,02;53,94;43,2;-;31,56;46,6;53,94;37,44;58,7;-;35,31
21.03.2017;09:00;-;30,84;30,84;52,15;52,15;35;-;30,84;49,92;52,15;34;54,91;-;30,84
21.03.2017;10:00;-;29,97;29,97;50,87;50,87;30,96;-;29,97;49,55;50,87;30,5;51,91;-;29,97
21.03.2017;11:00;-;29,69;29,69;43,27;50,49;30,67;-;29,69;47,99;50,49;29,69;59,28;-;29,69
21.03.2017;12:00;-;29,08;29,08;41,34;44,69;29,9;-;29,08;44,91;49;28;58,7;-;29,08
21.03.2017;13:00;-;28,86;28,86;41,35;45;30;-;28,86;44,55;46,58;28;57,11;-;28,86
21.03.2017;14:00;-;28,94;28,94;42,57;47,01;30,3;-;28,94;44,44;47,01;28,81;54,32;-;28,94
21.03.2017;15:00;-;29,37;29,37;43,08;50,97;30,34;-;29,37;43,9;50,97;30,2;55,03;-;29,37
21.03.2017;16:00;-;29,63;29,63;44,43;50,11;30,61;-;29,63;43,5;50,11;32,83;53,94;-;30,1
21.03.2017;17:00;-;30,35;30,35;47,49;50,87;36,65;-;30,35;45,79;50,87;37,27;55,62;-;36,65
21.03.2017;18:00;-;30,78;30,78;48;54,95;42,98;-;30,78;52,62;54,95;43,95;65,05;-;42,98
21.03.2017;19:00;-;30,67;30,67;49,69;56,98;51,08;-;30,67;52,58;56,98;48,1;66,47;-;47,25
21.03.2017;20:00;-;29,02;29,02;44,91;51;46,7;-;29,02;49,79;51;43,09;59,52;-;41,77
21.03.2017;21:00;-;16,66;28,14;37,75;50;37,75;-;28,14;42,52;50;36,46;51,21;-;37,75
21.03.2017;22:00;-;16,62;26,93;40,25;44,69;44,56;-;26,93;41,15;44,69;33,39;45,03;-;34,99
21.03.2017;23:00;-;16,61;22,76;34,39;42,57;35;-;22,76;38,9;42,57;28,6;39,09;-;33,96
22.03.2017;00:00;-;16,78;18,1;30,45;38,87;30,45;-;18,1;34,06;32,01;30,11;36,65;-;30,45
22.03.2017;01:00;-;18,01;18,01;29,98;34,49;29,98;-;18,01;30,4;29,98;28,52;28,52;-;29,98
22.03.2017;02:00;-;18,06;18,06;29,2;33,16;29,2;-;18,06;29,51;29,2;27,69;27,69;-;29,2
22.03.2017;03:00;-;20,79;20,79;29,05;33,16;29,05;-;20,79;27,62;29,05;27,59;27,59;-;29,05
22.03.2017;04:00;-;26,99;26,99;29,05;36;29,05;-;26,99;28,86;29,05;28,4;28,4;-;29,05
22.03.2017;05:00;-;29,23;29,23;30,41;39;30,41;-;29,23;32,9;39;30,33;34,59;-;30,41
22.03.2017;06:00;-;30,46;30,46;35,19;44;35,19;-;30,46;40,7;35,19;38,33;45,04;-;35,19
22.03.2017;07:00;-;31,51;31,51;40,19;48;40,19;-;31,51;47;48;43,33;50,04;-;40,19
22.03.2017;08:00;-;32,22;32,22;43,02;49,47;43,02;-;32,22;46,91;43,02;43,99;50,03;-;43,02
22.03.2017;09:00;-;31,63;31,63;41,74;49;41,74;-;31,63;46,02;42;42;47,35;-;41,74
22.03.2017;10:00;-;31,38;31,38;37,54;47,77;37,54;-;31,38;46,03;39,7;39,8;43,03;-;37,54
22.03.2017;11:00;-;31,16;31,16;36,69;45,72;36,69;-;31,16;46,02;43;39,6;41,16;-;36,69
22.03.2017;12:00;-;31,09;31,09;36,25;40,75;36,25;-;31,09;42,03;40,75;37;41,2;-;36,25
22.03.2017;13:00;-;30,84;30,84;35,95;44,76;35,95;-;30,84;42,39;42,4;37,17;40,26;-;35,95
22.03.2017;14:00;-;30,6;30,6;35,02;45,57;35,02;-;30,6;42,1;40;37,1;39,34;-;35,02
22.03.2017;15:00;-;30,7;30,7;36,35;52;36,35;-;30,44;42,47;39,7;38,3;41,64;-;36,35
22.03.2017;16:00;-;30,9;30,9;36,9;50,62;36,9;-;30,9;42,64;36,9;38,5;42,97;-;36,9
22.03.2017;17:00;-;39,6;39,6;39,6;51,94;39,6;-;31,26;45,46;39,6;42,08;48,15;-;39,6
22.03.2017;18:00;-;42,4;42,4;42,4;55;42,4;-;32,25;47,85;47;45,83;54,01;-;42,4
22.03.2017;19:00;-;34,04;34,04;48,42;55,14;45;-;31,97;49,66;48;48,05;54,38;-;45
22.03.2017;20:00;-;31,25;31,25;48,47;52;38,98;-;31,25;44,28;48;40,9;50,04;-;38,98
22.03.2017;21:00;-;31,08;31,08;44,62;50;32,18;-;30,11;42,48;50;34,4;44,12;-;32,18
22.03.2017;22:00;-;31,12;31,12;44,92;46,99;31,65;-;29,18;42,03;46,99;33;40,05;-;31,65
22.03.2017;23:00;-;29,17;29,17;41,56;44,01;29,17;-;28,47;32,75;29,17;28,7;30,46;-;29,17
